Date,0P00000ODE.IR,0P00000SFV.F,0P0000J24W.ST,0P000134K7.IR,0P000134K9.F,0P00018CRD.IR,0P0001K6NB.IR,0P0001K6NJ.IR,0P0001KO97.IR,0P0001KRXX.CO,0P0001OPBE.IR,0P0001OPBL.IR,0P0001OPC5.IR,0P0001RFXW.IR,DKKNOK=X,EURNOK=X,NO10Y,NOK=X,SEKNOK=X,^990100-USD-STRD
2021-07-15,,,,,,,121.50700378417969,123.36299896240234,,,,,,,1.389780044555664,10.337340354919434,1.269,8.736319541931152,1.0131709575653076,3043.5
2021-07-16,,,,,,,121.09500122070312,123.17900085449219,,,,,,,1.4012340307235718,10.421640396118164,1.255,8.823599815368652,1.0180710554122925,3024.699951171875
2021-07-17,,,,,,,121.09500122070312,123.17900085449219,,,,,,,1.4012340307235718,10.421640396118164,1.255,8.823599815368652,1.0180710554122925,3024.699951171875
2021-07-18,,,,,,,121.09500122070312,123.17900085449219,,,,,,,1.4012340307235718,10.421640396118164,1.255,8.823599815368652,1.0180710554122925,3024.699951171875
2021-07-19,,,,,,,120.38600158691406,122.80500030517578,,,,,,,1.405297040939331,10.451899528503418,1.164,8.845800399780273,1.0190399885177612,2975.60009765625
2021-07-20,,,,,,,121.1729965209961,125.302001953125,,,,,,,1.418637990951538,10.556599617004395,1.054,8.952170372009277,1.0293699502944946,3005.89990234375
2021-07-21,,,,,,,119.4990005493164,124.70500183105469,,,,,,,1.425771951675415,10.602080345153809,1.126,8.999460220336914,1.034093976020813,3036.699951171875
2021-07-22,,,,,,,119.46700286865234,123.93299865722656,,,,,,,1.40802001953125,10.47327995300293,1.186,8.88129997253418,1.0217100381851196,3046.60009765625
2021-07-23,,,,,,,119.57499694824219,125.83899688720703,,,,,,,1.401021957397461,10.418180465698242,1.198,8.849679946899414,1.0191810131072998,3072.39990234375
2021-07-24,,,,,,,119.57499694824219,125.83899688720703,,,,,,,1.401021957397461,10.418180465698242,1.198,8.849679946899414,1.0191810131072998,3072.39990234375
2021-07-25,,,,,,,119.57499694824219,125.83899688720703,,,,,,,1.401021957397461,10.418180465698242,1.198,8.849679946899414,1.0191810131072998,3072.39990234375
2021-07-26,,,,,,,115.24199676513672,125.0780029296875,,,,,,,1.4017000198364258,10.421930313110352,1.184,8.852700233459473,1.0180809497833252,3080.39990234375
2021-07-27,,,,,,,112.5469970703125,125.28900146484375,,,,,,,1.3991899490356445,10.406370162963867,1.167,8.815999984741211,1.021752953529358,3068.89990234375
2021-07-28,,,,,,,113.33200073242188,124.94999694824219,,,,,,,1.4105199575424194,10.487649917602539,1.163,8.873740196228027,1.028478980064392,3069.5
2021-07-29,,,,,,,115.69300079345703,124.45700073242188,,,,,,,1.4003900289535522,10.415809631347656,1.179,8.793499946594238,1.023069977760315,3089.800048828125
2021-07-30,,,,,,,115.31099700927734,125.19300079345703,,,,,,,1.3954099416732788,10.37716007232666,1.182,8.72838020324707,1.0200749635696411,3069.300048828125
2021-07-31,,,,,,,115.31099700927734,125.19300079345703,,,,,,,1.3954099416732788,10.37716007232666,1.182,8.72838020324707,1.0200749635696411,3069.300048828125
2021-08-01,,,,,,,115.31099700927734,125.19300079345703,,,,,,,1.3954099416732788,10.37716007232666,1.182,8.72838020324707,1.0200749635696411,3069.300048828125
2021-08-02,,,,,,,115.31099700927734,125.19300079345703,,,,,,,1.4080300331115723,10.472649574279785,1.203,8.826290130615234,1.0261989831924438,3077.10009765625
2021-08-03,,,,,,,116.52999877929688,126.07499694824219,,,,,,,1.4092899560928345,10.48307991027832,1.163,8.827939987182617,1.0268100500106812,3092.5
2021-08-04,,,,,,,117.5009994506836,125.88200378417969,,,,,,,1.4067000150680542,10.462849617004395,1.126,8.813400268554688,1.0245100259780884,3085.800048828125
2021-08-05,,,,,,,116.70600128173828,126.31099700927734,,,,,,,1.4072400331497192,10.4650297164917,1.136,8.841099739074707,1.0266309976577759,3102.199951171875
2021-08-06,,,,,,,117.08499908447266,127.15299987792969,,,,,,,1.4017820358276367,10.422690391540527,1.215,8.807900428771973,1.0226999521255493,3098.10009765625
2021-08-07,,,,,,,117.08499908447266,127.15299987792969,,,,,,,1.4017820358276367,10.422690391540527,1.215,8.807900428771973,1.0226999521255493,3098.10009765625
2021-08-08,,,,,,,117.08499908447266,127.15299987792969,,,,,,,1.4017820358276367,10.422690391540527,1.215,8.807900428771973,1.0226999521255493,3098.10009765625
2021-08-09,,,,,,,117.72599792480469,128.12899780273438,,,,,,,1.4094740152359009,10.480079650878906,1.212,8.92199993133545,1.0275499820709229,3097.10009765625
2021-08-10,,,,,,,118.91100311279297,127.83399963378906,,,,,,,1.4117170572280884,10.496430397033691,1.228,8.943070411682129,1.027400016784668,3099.5
2021-08-11,,,,,,,117.9739990234375,127.46099853515625,,,,,,,1.4059209823608398,10.455209732055664,1.256,8.924650192260742,1.0228919982910156,3110.0
2021-08-12,,,,,,,116.86399841308594,127.46499633789062,,,,,,,1.3975629806518555,10.375849723815918,1.275,8.8503999710083,1.0191709995269775,3115.699951171875
2021-08-13,,,,,,,115.72899627685547,127.16799926757812,,,,,,,1.3960100412368774,10.382129669189453,1.298,8.846799850463867,1.0183299779891968,3125.10009765625
2021-08-14,,,,,,,115.72899627685547,127.16799926757812,,,,,,,1.3960100412368774,10.382129669189453,1.298,8.846799850463867,1.0183299779891968,3125.10009765625
2021-08-15,,,,,,,115.72899627685547,127.16799926757812,,,,,,,1.3960100412368774,10.382129669189453,1.298,8.846799850463867,1.0183299779891968,3125.10009765625
2021-08-16,,,,,,,114.96399688720703,127.71099853515625,,,,,,,1.395650029182434,10.378649711608887,1.263,8.799860000610352,1.0184340476989746,3122.0
2021-08-17,,,,,,,114.29299926757812,127.40299987792969,,,,,,,1.3975000381469727,10.393799781799316,1.234,8.822970390319824,1.0200749635696411,3100.10009765625
2021-08-18,,,,,,,114.65699768066406,126.98899841308594,,,,,,,1.4038000106811523,10.438400268554688,1.19,8.91450023651123,1.017259955406189,3078.0
2021-08-19,,,,,,,113.52300262451172,128.56900024414062,,,,,,,1.4023669958114624,10.427160263061523,1.149,8.910120010375977,1.0195800065994263,3063.199951171875
2021-08-20,,,,,,,112.54199981689453,129.67599487304688,,,,,,,1.41914701461792,10.55387020111084,1.1,9.038769721984863,1.0263570547103882,3080.0
2021-08-21,,,,,,,112.54199981689453,129.67599487304688,,,,,,,1.41914701461792,10.55387020111084,1.1,9.038769721984863,1.0263570547103882,3080.0
2021-08-22,,,,,,,112.54199981689453,129.67599487304688,,,,,,,1.41914701461792,10.55387020111084,1.1,9.038769721984863,1.0263570547103882,3080.0
2021-08-23,,,,,,,112.17400360107422,128.9709930419922,,,,,,,1.419819951057434,10.558600425720215,1.142,9.027219772338867,1.0248839855194092,3112.60009765625
2021-08-24,,,,,,,114.35299682617188,127.9530029296875,,,,,,,1.4080810546875,10.467320442199707,1.168,8.915499687194824,1.022379994392395,3122.0
2021-08-25,,,,,,,114.84600067138672,128.26600646972656,,,,,,,1.3958159685134888,10.375160217285156,1.24,8.830900192260742,1.0157029628753662,3125.800048828125
2021-08-26,,,,,,,114.01799774169922,127.35199737548828,,,,,,,1.3944900035858154,10.36868953704834,1.274,8.810090065002441,1.0140140056610107,3110.300048828125
2021-08-27,,,,,,,113.60900115966797,126.90799713134766,,,,,,,1.395300030708313,10.376049995422363,1.266,8.828200340270996,1.0137879848480225,3133.699951171875
2021-08-28,,,,,,,113.60900115966797,126.90799713134766,,,,,,,1.395300030708313,10.376049995422363,1.266,8.828200340270996,1.0137879848480225,3133.699951171875
2021-08-29,,,,,,,113.60900115966797,126.90799713134766,,,,,,,1.395300030708313,10.376049995422363,1.266,8.828200340270996,1.0137879848480225,3133.699951171875
2021-08-30,,,,,,,113.60900115966797,126.90799713134766,,,,,,,1.3815399408340454,10.273670196533203,1.257,8.709710121154785,1.0081599950790405,3146.60009765625
2021-08-31,,,,,,,116.65499877929688,126.7969970703125,,,,,,,1.3754910230636597,10.226329803466797,1.263,8.668319702148438,1.0045709609985352,3141.39990234375
2021-09-01,,,,,,,116.36900329589844,126.95099639892578,,,,,,,1.3797999620437622,10.257590293884277,1.289,8.68610954284668,1.0073540210723877,3151.699951171875
